Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1452,0.05005,0.0451
0.0,0.0,0.0,0.0,0.0,0.2904,0.1001,0.0902
0.0,0.0,0.0,0.0,0.0,0.4356,0.15015,0.1353
0.0,0.0,0.0,0.0,0.0,0.5808,0.2002,0.1804
0.0,0.0,0.0,0.0,0.2431,0.0,0.2431,0.0
0.0,0.0,0.0,0.0,0.2431,0.0902,0.2431,0.0902
0.0,0.0,0.0,0.0,0.154,0.4004,0.2002,0.308
0.0,0.0,0.0,0.0,0.2431,0.2706,0.2431,0.2706
0.0,0.0,0.0,0.0,0.154,0.8008,0.4004,0.308
0.0,0.0,0.0,0.0,0.4862,0.0,0.4862,0.0
0.0,0.0,0.0,0.0,0.4862,0.0902,0.4862,0.0902
0.0,0.0,0.0,0.0,0.308,0.4004,0.2002,0.616
0.0,0.0,0.0,0.0,0.4862,0.2706,0.4862,0.2706
0.0,0.0,0.0,0.0,0.308,0.8008,0.4004,0.616
0.0,0.0,0.0,0.0,0.7293,0.0,0.7293,0.0
0.0,0.0,0.0,0.0,0.7293,0.0902,0.7293,0.0902
0.0,0.0,0.0,0.0,0.462,0.4004,0.2002,0.924
0.0,0.0,0.0,0.0,0.7293,0.2706,0.7293,0.2706
0.0,0.0,0.0,0.0,0.462,0.8008,0.4004,0.924
0.0,0.0,0.0,0.0,0.9724,0.0,0.9724,0.0
0.0,0.0,0.0,0.0,0.9724,0.0902,0.9724,0.0902
0.0,0.0,0.0,0.0,0.616,0.4004,0.2002,1.232
0.0,0.0,0.0,0.0,0.9724,0.2706,0.9724,0.2706
0.0,0.0,0.0,0.0,0.616,0.8008,0.4004,1.232
0.0,0.0,0.0,0.2156,0.0,0.0,0.0,0.6468
0.0,0.0,0.0,0.2156,0.0,0.2002,0.1001,0.6468
0.0,0.0,0.0,0.2156,0.0,0.4004,0.2002,0.6468
0.0,0.0,0.0,0.2156,0.0,0.6006,0.3003,0.6468
0.0,0.0,0.0,0.2156,0.0,0.8008,0.4004,0.6468
0.0,0.0,0.0,0.2156,0.2431,0.0,0.2431,0.6468
0.0,0.0,0.0,0.2156,0.2431,0.2002,0.3432,0.6468
0.0,0.0,0.0,0.2156,0.2431,0.4004,0.4433,0.6468
0.0,0.0,0.0,0.2156,0.2431,0.6006,0.5434,0.6468
0.0,0.0,0.0,0.2156,0.2431,0.8008,0.6435,0.6468
0.0,0.0,0.0,0.2156,0.4862,0.0,0.4862,0.6468
0.0,0.0,0.0,0.2156,0.4862,0.2002,0.5863,0.6468
0.0,0.0,0.0,0.2156,0.4862,0.4004,0.6864,0.6468
0.0,0.0,0.0,0.2156,0.4862,0.6006,0.7865,0.6468
0.0,0.0,0.0,0.2156,0.4862,0.8008,0.8866,0.6468
0.0,0.0,0.0,0.2156,0.7293,0.0,0.7293,0.6468
0.0,0.0,0.0,0.2156,0.7293,0.2002,0.8294,0.6468
0.0,0.0,0.0,0.2156,0.7293,0.4004,0.9295,0.6468
0.0,0.0,0.0,0.2156,0.7293,0.6006,1.0296,0.6468
0.0,0.0,0.0,0.2156,0.7293,0.8008,1.1297,0.6468
0.0,0.0,0.0,0.2156,0.9724,0.0,0.9724,0.6468
0.0,0.0,0.0,0.2156,0.9724,0.2002,1.0725,0.6468
0.0,0.0,0.0,0.2156,0.9724,0.4004,1.1726,0.6468
0.0,0.0,0.0,0.2156,0.9724,0.6006,1.2727,0.6468
0.0,0.0,0.0,0.2156,0.9724,0.8008,1.3728,0.6468
0.0,0.0,0.0,0.4312,0.0,0.0,0.0,1.2936
0.0,0.0,0.0,0.4312,0.0,0.2002,0.1001,1.2936
0.0,0.0,0.0,0.4312,0.0,0.4004,0.2002,1.2936
0.0,0.0,0.0,0.4312,0.0,0.6006,0.3003,1.2936
0.0,0.0,0.0,0.4312,0.0,0.8008,0.4004,1.2936
0.0,0.0,0.0,0.4312,0.2431,0.0,0.2431,1.2936
0.0,0.0,0.0,0.4312,0.2431,0.2002,0.3432,1.2936
0.0,0.0,0.0,0.4312,0.2431,0.4004,0.4433,1.2936
0.0,0.0,0.0,0.4312,0.2431,0.6006,0.5434,1.2936
0.0,0.0,0.0,0.4312,0.2431,0.8008,0.6435,1.2936
0.0,0.0,0.0,0.4312,0.4862,0.0,0.4862,1.2936
0.0,0.0,0.0,0.4312,0.4862,0.2002,0.5863,1.2936
0.0,0.0,0.0,0.4312,0.4862,0.4004,0.6864,1.2936
0.0,0.0,0.0,0.4312,0.4862,0.6006,0.7865,1.2936
0.0,0.0,0.0,0.4312,0.4862,0.8008,0.8866,1.2936
0.0,0.0,0.0,0.4312,0.7293,0.0,0.7293,1.2936
0.0,0.0,0.0,0.4312,0.7293,0.2002,0.8294,1.2936
0.0,0.0,0.0,0.4312,0.7293,0.4004,0.9295,1.2936
0.0,0.0,0.0,0.4312,0.7293,0.6006,1.0296,1.2936
0.0,0.0,0.0,0.4312,0.7293,0.8008,1.1297,1.2936
0.0,0.0,0.0,0.4312,0.9724,0.0,0.9724,1.2936
0.0,0.0,0.0,0.4312,0.9724,0.2002,1.0725,1.2936
0.0,0.0,0.0,0.4312,0.9724,0.4004,1.1726,1.2936
0.0,0.0,0.0,0.4312,0.9724,0.6006,1.2727,1.2936
0.0,0.0,0.0,0.6468,0.0,0.0,0.0,1.9404
0.0,0.0,0.0,0.6468,0.0,0.2002,0.1001,1.9404
0.0,0.0,0.0,0.6468,0.0,0.4004,0.2002,1.9404
0.0,0.0,0.0,0.6468,0.0,0.6006,0.3003,1.9404
0.0,0.0,0.0,0.6468,0.0,0.8008,0.4004,1.9404
0.0,0.0,0.0,0.6468,0.2431,0.0,0.2431,1.9404
0.0,0.0,0.0,0.6468,0.2431,0.2002,0.3432,1.9404
0.0,0.0,0.0,0.6468,0.2431,0.4004,0.4433,1.9404
0.0,0.0,0.0,0.6468,0.2431,0.6006,0.5434,1.9404
0.0,0.0,0.0,0.6468,0.2431,0.8008,0.6435,1.9404
0.0,0.0,0.0,0.6468,0.4862,0.0,0.4862,1.9404
0.0,0.0,0.0,0.6468,0.4862,0.2002,0.5863,1.9404
0.0,0.0,0.0,0.6468,0.4862,0.4004,0.6864,1.9404
0.0,0.0,0.0,0.6468,0.4862,0.6006,0.7865,1.9404
0.0,0.0,0.0,0.6468,0.4862,0.8008,0.8866,1.9404
0.0,0.0,0.0,0.6468,0.7293,0.0,0.7293,1.9404
0.0,0.0,0.0,0.6468,0.7293,0.2002,0.8294,1.9404
0.0,0.0,0.0,0.6468,0.7293,0.4004,0.9295,1.9404
0.0,0.0,0.0,0.6468,0.7293,0.6006,1.0296,1.9404
0.0,0.0,0.0,0.6468,0.9724,0.0,0.9724,1.9404
0.0,0.0,0.0,0.6468,0.9724,0.2002,1.0725,1.9404
0.0,0.0,0.0,0.6468,0.9724,0.4004,1.1726,1.9404
0.0,0.0,0.0,0.8624,0.0,0.0,0.0,2.5872
0.0,0.0,0.0,0.8624,0.0,0.2002,0.1001,2.5872
0.0,0.0,0.0,0.8624,0.0,0.4004,0.2002,2.5872
0.0,0.0,0.0,0.8624,0.0,0.6006,0.3003,2.5872
0.0,0.0,0.0,0.8624,0.0,0.8008,0.4004,2.5872
0.0,0.0,0.0,0.8624,0.2431,0.0,0.2431,2.5872
0.0,0.0,0.0,0.8624,0.2431,0.2002,0.3432,2.5872
0.0,0.0,0.0,0.8624,0.2431,0.4004,0.4433,2.5872
0.0,0.0,0.0,0.8624,0.2431,0.6006,0.5434,2.5872
0.0,0.0,0.0,0.8624,0.2431,0.8008,0.6435,2.5872
0.0,0.0,0.0,0.8624,0.4862,0.0,0.4862,2.5872
0.0,0.0,0.0,0.8624,0.4862,0.2002,0.5863,2.5872
0.0,0.0,0.0,0.8624,0.4862,0.4004,0.6864,2.5872
0.0,0.0,0.0,0.8624,0.4862,0.6006,0.7865,2.5872
0.0,0.0,0.0,0.8624,0.7293,0.0,0.7293,2.5872
0.0,0.0,0.0,0.8624,0.7293,0.2002,0.8294,2.5872
0.0,0.0,0.0,0.8624,0.7293,0.4004,0.9295,2.5872
0.0,0.0,0.0,0.8624,0.9724,0.0,0.9724,2.5872
0.0,0.0,0.0,0.8624,0.9724,0.2002,1.0725,2.5872
0.0,0.0,0.1166,0.0,0.0,0.0,0.0,0.1166
0.0,0.0,0.1166,0.0,0.0,0.2002,0.1001,0.1166
0.0,0.0,0.1166,0.0,0.0,0.4004,0.2002,0.1166
0.0,0.0,0.1166,0.0,0.0,0.6006,0.3003,0.1166
0.0,0.0,0.1166,0.0,0.0,0.8008,0.4004,0.1166
0.0,0.0,0.1166,0.0,0.2431,0.0,0.2431,0.1166
0.0,0.0,0.1166,0.0,0.2431,0.2002,0.3432,0.1166
0.0,0.0,0.1166,0.0,0.2431,0.4004,0.4433,0.1166
0.0,0.0,0.1166,0.0,0.2431,0.6006,0.5434,0.1166
0.0,0.0,0.1166,0.0,0.2431,0.8008,0.6435,0.1166
0.0,0.0,0.1166,0.0,0.4862,0.0,0.4862,0.1166
0.0,0.0,0.1166,0.0,0.4862,0.2002,0.5863,0.1166
0.0,0.0,0.1166,0.0,0.4862,0.4004,0.6864,0.1166
0.0,0.0,0.1166,0.0,0.4862,0.6006,0.7865,0.1166
0.0,0.0,0.1166,0.0,0.4862,0.8008,0.8866,0.1166
0.0,0.0,0.1166,0.0,0.7293,0.0,0.7293,0.1166
0.0,0.0,0.1166,0.0,0.7293,0.2002,0.8294,0.1166
0.0,0.0,0.1166,0.0,0.7293,0.4004,0.9295,0.1166
0.0,0.0,0.1166,0.0,0.7293,0.6006,1.0296,0.1166
0.0,0.0,0.1166,0.0,0.7293,0.8008,1.1297,0.1166
0.0,0.0,0.1166,0.0,0.9724,0.0,0.9724,0.1166
0.0,0.0,0.1166,0.0,0.9724,0.2002,1.0725,0.1166
0.0,0.0,0.1166,0.0,0.9724,0.4004,1.1726,0.1166
0.0,0.0,0.1166,0.0,0.9724,0.6006,1.2727,0.1166
0.0,0.0,0.1166,0.0,0.9724,0.8008,1.3728,0.1166
0.0,0.0,0.1166,0.2156,0.0,0.0,0.0,0.7634
0.0,0.0,0.1166,0.2156,0.0,0.2002,0.1001,0.7634
0.0,0.0,0.1166,0.2156,0.0,0.4004,0.2002,0.7634
0.0,0.0,0.1166,0.2156,0.0,0.6006,0.3003,0.7634
0.0,0.0,0.1166,0.2156,0.0,0.8008,0.4004,0.7634
0.0,0.0,0.1166,0.2156,0.2431,0.0,0.2431,0.7634
0.0,0.0,0.1166,0.2156,0.2431,0.2002,0.3432,0.7634
0.0,0.0,0.1166,0.2156,0.2431,0.4004,0.4433,0.7634
0.0,0.0,0.1166,0.2156,0.2431,0.6006,0.5434,0.7634
0.0,0.0,0.1166,0.2156,0.2431,0.8008,0.6435,0.7634
0.0,0.0,0.1166,0.2156,0.4862,0.0,0.4862,0.7634
0.0,0.0,0.1166,0.2156,0.4862,0.2002,0.5863,0.7634
0.0,0.0,0.1166,0.2156,0.4862,0.4004,0.6864,0.7634
0.0,0.0,0.1166,0.2156,0.4862,0.6006,0.7865,0.7634
0.0,0.0,0.1166,0.2156,0.4862,0.8008,0.8866,0.7634
0.0,0.0,0.1166,0.2156,0.7293,0.0,0.7293,0.7634
0.0,0.0,0.1166,0.2156,0.7293,0.2002,0.8294,0.7634
0.0,0.0,0.1166,0.2156,0.7293,0.4004,0.9295,0.7634
0.0,0.0,0.1166,0.2156,0.7293,0.6006,1.0296,0.7634
0.0,0.0,0.1166,0.2156,0.7293,0.8008,1.1297,0.7634
0.0,0.0,0.1166,0.2156,0.9724,0.0,0.9724,0.7634
0.0,0.0,0.1166,0.2156,0.9724,0.2002,1.0725,0.7634
0.0,0.0,0.1166,0.2156,0.9724,0.4004,1.1726,0.7634
0.0,0.0,0.1166,0.2156,0.9724,0.6006,1.2727,0.7634
0.0,0.0,0.1166,0.4312,0.0,0.0,0.0,1.4102
0.0,0.0,0.1166,0.4312,0.0,0.2002,0.1001,1.4102
0.0,0.0,0.1166,0.4312,0.0,0.4004,0.2002,1.4102
0.0,0.0,0.1166,0.4312,0.0,0.6006,0.3003,1.4102
0.0,0.0,0.1166,0.4312,0.0,0.8008,0.4004,1.4102
0.0,0.0,0.1166,0.4312,0.2431,0.0,0.2431,1.4102
0.0,0.0,0.1166,0.4312,0.2431,0.2002,0.3432,1.4102
0.0,0.0,0.1166,0.4312,0.2431,0.4004,0.4433,1.4102
0.0,0.0,0.1166,0.4312,0.2431,0.6006,0.5434,1.4102
0.0,0.0,0.1166,0.4312,0.2431,0.8008,0.6435,1.4102
0.0,0.0,0.1166,0.4312,0.4862,0.0,0.4862,1.4102
0.0,0.0,0.1166,0.4312,0.4862,0.2002,0.5863,1.4102
0.0,0.0,0.1166,0.4312,0.4862,0.4004,0.6864,1.4102
0.0,0.0,0.1166,0.4312,0.4862,0.6006,0.7865,1.4102
0.0,0.0,0.1166,0.4312,0.4862,0.8008,0.8866,1.4102
0.0,0.0,0.1166,0.4312,0.7293,0.0,0.7293,1.4102
0.0,0.0,0.1166,0.4312,0.7293,0.2002,0.8294,1.4102
0.0,0.0,0.1166,0.4312,0.7293,0.4004,0.9295,1.4102
0.0,0.0,0.1166,0.4312,0.7293,0.6006,1.0296,1.4102
0.0,0.0,0.1166,0.4312,0.9724,0.0,0.9724,1.4102
0.0,0.0,0.1166,0.4312,0.9724,0.2002,1.0725,1.4102
0.0,0.0,0.1166,0.4312,0.9724,0.4004,1.1726,1.4102
0.0,0.0,0.1166,0.6468,0.0,0.0,0.0,2.057
0.0,0.0,0.1166,0.6468,0.0,0.2002,0.1001,2.057
0.0,0.0,0.1166,0.6468,0.0,0.4004,0.2002,2.057
0.0,0.0,0.1166,0.6468,0.0,0.6006,0.3003,2.057
0.0,0.0,0.1166,0.6468,0.0,0.8008,0.4004,2.057
0.0,0.0,0.1166,0.6468,0.2431,0.0,0.2431,2.057
0.0,0.0,0.1166,0.6468,0.2431,0.2002,0.3432,2.057
0.0,0.0,0.1166,0.6468,0.2431,0.4004,0.4433,2.057
0.0,0.0,0.1166,0.6468,0.2431,0.6006,0.5434,2.057
0.0,0.0,0.1166,0.6468,0.2431,0.8008,0.6435,2.057
0.0,0.0,0.1166,0.6468,0.4862,0.0,0.4862,2.057
0.0,0.0,0.1166,0.6468,0.4862,0.2002,0.5863,2.057
0.0,0.0,0.1166,0.6468,0.4862,0.4004,0.6864,2.057
0.0,0.0,0.1166,0.6468,0.4862,0.6006,0.7865,2.057
0.0,0.0,0.1166,0.6468,0.7293,0.0,0.7293,2.057
0.0,0.0,0.1166,0.6468,0.7293,0.2002,0.8294,2.057
0.0,0.0,0.1166,0.6468,0.7293,0.4004,0.9295,2.057
0.0,0.0,0.1166,0.6468,0.9724,0.0,0.9724,2.057
0.0,0.0,0.1166,0.6468,0.9724,0.2002,1.0725,2.057
0.0,0.0,0.1166,0.8624,0.0,0.0,0.0,2.7038
0.0,0.0,0.1166,0.8624,0.0,0.2002,0.1001,2.7038
0.0,0.0,0.1166,0.8624,0.0,0.4004,0.2002,2.7038
0.0,0.0,0.1166,0.8624,0.0,0.6006,0.3003,2.7038
0.0,0.0,0.1166,0.8624,0.0,0.8008,0.4004,2.7038
0.0,0.0,0.1166,0.8624,0.2431,0.0,0.2431,2.7038
0.0,0.0,0.1166,0.8624,0.2431,0.2002,0.3432,2.7038
0.0,0.0,0.1166,0.8624,0.2431,0.4004,0.4433,2.7038
0.0,0.0,0.1166,0.8624,0.2431,0.6006,0.5434,2.7038
0.0,0.0,0.1166,0.8624,0.4862,0.0,0.4862,2.7038
0.0,0.0,0.1166,0.8624,0.4862,0.2002,0.5863,2.7038
0.0,0.0,0.1166,0.8624,0.4862,0.4004,0.6864,2.7038
0.0,0.0,0.1166,0.8624,0.7293,0.0,0.7293,2.7038
0.0,0.0,0.1166,0.8624,0.7293,0.2002,0.8294,2.7038
0.0,0.0,0.1166,0.8624,0.9724,0.0,0.9724,2.7038
0.0,0.0,0.2332,0.0,0.0,0.0,0.0,0.2332
0.0,0.0,0.2332,0.0,0.0,0.2002,0.1001,0.2332
0.0,0.0,0.2332,0.0,0.0,0.4004,0.2002,0.2332
0.0,0.0,0.2332,0.0,0.0,0.6006,0.3003,0.2332
0.0,0.0,0.2332,0.0,0.0,0.8008,0.4004,0.2332
0.0,0.0,0.2332,0.0,0.2431,0.0,0.2431,0.2332
0.0,0.0,0.2332,0.0,0.2431,0.2002,0.3432,0.2332
0.0,0.0,0.2332,0.0,0.2431,0.4004,0.4433,0.2332
0.0,0.0,0.2332,0.0,0.2431,0.6006,0.5434,0.2332
0.0,0.0,0.2332,0.0,0.2431,0.8008,0.6435,0.2332
0.0,0.0,0.2332,0.0,0.4862,0.0,0.4862,0.2332
0.0,0.0,0.2332,0.0,0.4862,0.2002,0.5863,0.2332
0.0,0.0,0.2332,0.0,0.4862,0.4004,0.6864,0.2332
0.0,0.0,0.2332,0.0,0.4862,0.6006,0.7865,0.2332
0.0,0.0,0.2332,0.0,0.4862,0.8008,0.8866,0.2332
0.0,0.0,0.2332,0.0,0.7293,0.0,0.7293,0.2332
0.0,0.0,0.2332,0.0,0.7293,0.2002,0.8294,0.2332
0.0,0.0,0.2332,0.0,0.7293,0.4004,0.9295,0.2332
0.0,0.0,0.2332,0.0,0.7293,0.6006,1.0296,0.2332
0.0,0.0,0.2332,0.0,0.7293,0.8008,1.1297,0.2332
