Zn(NO3)2,ZnSO4,Cu(NO3)2,CuSO4,LiNO3,Fe(NO3)3,NiSO4,Ni(NO3)2,(NH4)2SO4,NH4(NO3)2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05005,0.0451
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1001,0.0902
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15015,0.1353
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2002,0.1804
0.0,0.0,0.0,0.0,0.0,0.0,0.2431,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2431,0.0,0.0,0.0902
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.2002,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2431,0.0,0.0,0.2706
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.4004,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4862,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4862,0.0,0.0,0.0902
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.2002,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4862,0.0,0.0,0.2706
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.4004,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.7293,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.7293,0.0,0.0,0.0902
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.2002,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.7293,0.0,0.0,0.2706
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.4004,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9724,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9724,0.0,0.0,0.0902
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616,0.2002,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9724,0.0,0.0,0.2706
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616,0.4004,0.0
0.0,0.0,0.0,0.0,0.0,0.2156,0.0,0.0,0.0,0.0
